"i","entropy.s_am...1..","entropy.s_im...1..","entropy.s_lap...1..","mean.unlist.local_complexity.s_am..span...10....na.rm...TRUE.","mean.unlist.local_complexity.s_im..span...10....na.rm...TRUE.","mean.unlist.local_complexity.s_lap..span...10....na.rm...TRUE.","model"
37,0.150977897174869,0.147310666930454,0.377696795185991,28.0352091201531,27.9136510119627,28.7043063155595,"random.network"
38,0.207961194235195,0.140327270990593,0.496251794021087,28.3877726875411,27.820835060871,29.2163054369325,"random.network"
39,0.0960086561456234,0.140327270990593,0.245758231608636,27.7111127180315,27.89070112913,28.1323705946838,"random.network"
40,0.0923112902287174,0.148549490430348,0.243541847774931,27.6934926433142,27.9484256283647,28.1467447559448,"random.network"
41,0.260188815095998,0.135036202802128,0.595641308257596,28.7579427780594,27.7772225976457,29.7270622824022,"random.network"
42,0.171216196033923,0.147310666930454,0.419141580902661,28.1539686214328,27.8790509740105,28.8691763498136,"random.network"
43,0.285872289977131,0.153742180328762,0.657686232202901,28.9227883160296,27.8602913003323,30.0142365220478,"random.network"
44,0.219514418243659,0.137099478899818,0.519981331512642,28.4738048245206,27.7933271345418,29.3339622103157,"random.network"
45,0.126757443282447,0.144899617533107,0.322102607183179,27.8813562476581,27.8909932594219,28.4559399715449,"random.network"
46,0.224204662147245,0.142573330259899,0.529355496696211,28.4953462486622,27.8156931945698,29.3623454376949,"random.network"
47,0.230892178056595,0.132065356474883,0.538263002237907,28.5597893438429,27.7668243821179,29.4354631827192,"random.network"
48,0.147298013333121,0.146094250120136,0.36942121876605,27.9954275242261,27.8932138507541,28.6496203285586,"random.network"
49,0.201364918463319,0.141440542541821,0.482531513974842,28.3569272000324,27.8372117710751,29.1747324226882,"random.network"
50,0.160612770814942,0.147310666930454,0.397533401603907,28.0836997247561,27.8862858213799,28.7813088115616,"random.network"
1,0.391243563629256,0.137099478899818,0.815812526550227,28.2894050856744,27.7100780368194,28.8926724639835,"small.world"
2,0.432750158788754,0.153742180328762,0.89278408421841,28.4308068932582,27.7768581252492,29.0996703986863,"small.world"
3,0.405020132624242,0.142573330259899,0.841242469130366,28.3283173549285,27.7299792435255,28.9468354394248,"small.world"
4,0.383464132308798,0.134029796168036,0.799780710085645,28.2494634745429,27.6965849121299,28.8367874102979,"small.world"
5,0.413816850303634,0.146094250120136,0.856296097293052,28.3520385525949,27.7442513392301,28.9850601647967,"small.world"
6,0.423048815713358,0.149811367472748,0.877735477848967,28.4888322739815,27.7683537480224,29.1853594617366,"small.world"
7,0.416844196343165,0.147310666930454,0.860987863057629,28.3528192862486,27.7467934807747,28.9859741944391,"small.world"
8,0.410837838516928,0.144899617533107,0.851207265213548,28.3401914144443,27.7384359652718,28.972316082249,"small.world"
9,0.386018900569893,0.135036202802128,0.804405535986342,28.2640649858077,27.7013721524124,28.8562083356171,"small.world"
10,0.388611749169443,0.136059286238775,0.807893542839097,28.2653853596793,27.7034260119506,28.855656738897,"small.world"
11,0.410837838516928,0.144899617533107,0.851952753006899,28.3427840985314,27.7378399844708,28.9741576025652,"small.world"
12,0.423048815713358,0.149811367472748,0.873351551147735,28.3709961819512,27.7576843136006,29.0152614938011,"small.world"
13,0.396627772778379,0.139232999055099,0.822927801881292,28.2727611873434,27.7145569929923,28.8691498796042,"small.world"
14,0.402179190202273,0.141440542541821,0.835913258903017,28.3376741919498,27.7280461711207,28.9652494676471,"small.world"
15,0.388611749169443,0.136059286238775,0.805953779806286,28.2264666467292,27.7006427952595,28.801890729442,"small.world"
