"p","eA","eL","ed","eD","kA","kL","kd","kD"
0.62,0.00436588206205797,0.00598248116512633,0.492582176982412,0.107346192977465,27.2850665675896,27.2934733860398,28.0700079435306,27.5438427981835
0.63,0.00419745330564556,0.0057314828047251,0.474514224396445,0.106456663541014,27.2847771869951,27.2930096223449,28.0416038987724,27.5390166647756
0.64,0.0041037701917248,0.00557376645581505,0.471824189626966,0.105988822918135,27.2845717881709,27.2926919799983,28.0331841969326,27.5371252801125
0.65,0.00395064881125906,0.00532623357352497,0.459887085054512,0.105081051356593,27.2843483228137,27.2923458191655,28.007634128534,27.5335078041469
0.66,0.00389104464552504,0.00525584199254308,0.458553660128807,0.104745248090324,27.2842198818188,27.2921642997131,27.9984082247301,27.5309167654536
0.67,0.00383571811575862,0.00516157976792938,0.454997722529621,0.104350756657479,27.2840993335926,27.291986008551,27.9907516082703,27.5288951915939
0.68,0.00383227523285037,0.00515001793246947,0.454927178461859,0.104261613494985,27.2840465398667,27.2919083331519,27.9906879499636,27.527827248633
0.69,0.00383347473518083,0.00515180931213349,0.45491740688743,0.104102249802101,27.2839599934939,27.2917793940774,27.9907320272265,27.5271367232811
0.7,0.00383005027886811,0.00514085342638745,0.45485242554172,0.104013482372919,27.2838886044667,27.2916980214786,27.9907130055978,27.5261072242247
0.71,0.0038285864635214,0.00513323743194951,0.45492684835798,0.103845829748616,27.2838471198554,27.2916204800141,27.9907408064539,27.5252565429573
0.72,0.00382458857075151,0.00511764474250779,0.454852658630362,0.103769603888088,27.2837527353841,27.2914894731762,27.9906993274391,27.5241986039158
0.73,0.00382484506520424,0.00511559446645661,0.45481164572323,0.103644972037065,27.2836901176757,27.291427880531,27.9907011483839,27.5234028219751
0.74,0.00381854872874323,0.00509621467485657,0.454823610680169,0.103559746541854,27.2836338153958,27.2913155579246,27.9906980655454,27.5225086256003
0.75,0.00381795006518082,0.00509422032818571,0.454822314354454,0.103366294180392,27.2835472300812,27.2912076510513,27.9907224540698,27.5209909753348
0.76,0.00381821828375644,0.00509352469579507,0.454735262377132,0.103267128544151,27.2835351442756,27.2912001575011,27.9907003462309,27.5204727155999
0.77,0.00381222688327025,0.00507124082798763,0.4547740429634,0.103220335547543,27.2834443235816,27.2910491566833,27.9906864041944,27.5195979300975
0.78,0.00381054117531731,0.00506618639010908,0.454677909603414,0.103085819339187,27.2833914833707,27.2910014990417,27.9906535340037,27.5185696862938
0.79,0.00380744686675749,0.00505871490263192,0.454763849253521,0.102921418756877,27.2833130612274,27.2908859663516,27.9907006210581,27.5172222330174
0.8,0.00380433041267259,0.00504446133987957,0.454667651939011,0.10279135178833,27.2832513659022,27.2907993158656,27.9906463982852,27.5164019445238
0.81,0.00379964171246125,0.00503047478509363,0.454743598084346,0.102746942561972,27.2831877308103,27.2906974809876,27.9906453343816,27.5157353180949
0.82,0.00379782904885177,0.00502449080468382,0.45469773586885,0.102566410217301,27.2831302046447,27.2906184574737,27.9906777041987,27.5147983027588
0.83,0.00379740310699008,0.0050230621362998,0.454591162211981,0.102475347357059,27.283079466677,27.2905610834177,27.9906582221246,27.5140718151733
